ERPset,value,worklat,chindex,chlabel,bini,binlabel
248-25,248,  [206.0  400.0],130,Posterior,6,Neutral2
250-10,256,  [206.0  400.0],130,Posterior,6,Neutral2
250-22,236,  [206.0  400.0],130,Posterior,6,Neutral2
250-23,272,  [206.0  400.0],130,Posterior,6,Neutral2
250-26,312,  [206.0  400.0],130,Posterior,6,Neutral2
250-27,218,  [206.0  400.0],130,Posterior,6,Neutral2
250-36,272,  [206.0  400.0],130,Posterior,6,Neutral2
250-39,256,  [206.0  400.0],130,Posterior,6,Neutral2
255-22,380,  [206.0  400.0],130,Posterior,6,Neutral2
255-23,342,  [206.0  400.0],130,Posterior,6,Neutral2
255-33,246,  [206.0  400.0],130,Posterior,6,Neutral2
255-43,264,  [206.0  400.0],130,Posterior,6,Neutral2
255-44,218,  [206.0  400.0],130,Posterior,6,Neutral2
255-62,224,  [206.0  400.0],130,Posterior,6,Neutral2
255-63,288,  [206.0  400.0],130,Posterior,6,Neutral2
255-64,336,  [206.0  400.0],130,Posterior,6,Neutral2
255-72,254,  [206.0  400.0],130,Posterior,6,Neutral2
255-81,346,  [206.0  400.0],130,Posterior,6,Neutral2
117-115,252,  [206.0  400.0],130,Posterior,7,  Happy1
117-32,268,  [206.0  400.0],130,Posterior,7,  Happy1
117-34,300,  [206.0  400.0],130,Posterior,7,  Happy1
117-46,214,  [206.0  400.0],130,Posterior,7,  Happy1
117-48,296,  [206.0  400.0],130,Posterior,7,  Happy1
117-50,360,  [206.0  400.0],130,Posterior,7,  Happy1
117-53,326,  [206.0  400.0],130,Posterior,7,  Happy1
117-59,314,  [206.0  400.0],130,Posterior,7,  Happy1
117-61,282,  [206.0  400.0],130,Posterior,7,  Happy1
117-66,302,  [206.0  400.0],130,Posterior,7,  Happy1
117-69,224,  [206.0  400.0],130,Posterior,7,  Happy1
117-71,330,  [206.0  400.0],130,Posterior,7,  Happy1
117-76,268,  [206.0  400.0],130,Posterior,7,  Happy1
117-77,238,  [206.0  400.0],130,Posterior,7,  Happy1
118-107,390,  [206.0  400.0],130,Posterior,7,  Happy1
118-119,234,  [206.0  400.0],130,Posterior,7,  Happy1
118-128,270,  [206.0  400.0],130,Posterior,7,  Happy1
118-132,272,  [206.0  400.0],130,Posterior,7,  Happy1
118-143,286,  [206.0  400.0],130,Posterior,7,  Happy1
118-172,292,  [206.0  400.0],130,Posterior,7,  Happy1
118-198,276,  [206.0  400.0],130,Posterior,7,  Happy1
118-229,240,  [206.0  400.0],130,Posterior,7,  Happy1
118-232,264,  [206.0  400.0],130,Posterior,7,  Happy1
118-286,234,  [206.0  400.0],130,Posterior,7,  Happy1
118-300,230,  [206.0  400.0],130,Posterior,7,  Happy1
118-313,298,  [206.0  400.0],130,Posterior,7,  Happy1
118-46,306,  [206.0  400.0],130,Posterior,7,  Happy1
119-102,208,  [206.0  400.0],130,Posterior,7,  Happy1
119-112,262,  [206.0  400.0],130,Posterior,7,  Happy1
222-11,278,  [206.0  400.0],130,Posterior,7,  Happy1
222-13,294,  [206.0  400.0],130,Posterior,7,  Happy1
222-34,336,  [206.0  400.0],130,Posterior,7,  Happy1
222-36,352,  [206.0  400.0],130,Posterior,7,  Happy1
222-4,278,  [206.0  400.0],130,Posterior,7,  Happy1
248-10,222,  [206.0  400.0],130,Posterior,7,  Happy1
248-23,222,  [206.0  400.0],130,Posterior,7,  Happy1
248-25,270,  [206.0  400.0],130,Posterior,7,  Happy1
250-10,262,  [206.0  400.0],130,Posterior,7,  Happy1
250-22,242,  [206.0  400.0],130,Posterior,7,  Happy1
250-23,282,  [206.0  400.0],130,Posterior,7,  Happy1
250-26,306,  [206.0  400.0],130,Posterior,7,  Happy1
250-27,214,  [206.0  400.0],130,Posterior,7,  Happy1
250-36,284,  [206.0  400.0],130,Posterior,7,  Happy1
250-39,252,  [206.0  400.0],130,Posterior,7,  Happy1
255-22,206,  [206.0  400.0],130,Posterior,7,  Happy1
255-23,340,  [206.0  400.0],130,Posterior,7,  Happy1
255-33,244,  [206.0  400.0],130,Posterior,7,  Happy1
255-43,254,  [206.0  400.0],130,Posterior,7,  Happy1
255-44,226,  [206.0  400.0],130,Posterior,7,  Happy1
255-62,268,  [206.0  400.0],130,Posterior,7,  Happy1
255-63,314,  [206.0  400.0],130,Posterior,7,  Happy1
255-64,332,  [206.0  400.0],130,Posterior,7,  Happy1
255-72,248,  [206.0  400.0],130,Posterior,7,  Happy1
255-81,352,  [206.0  400.0],130,Posterior,7,  Happy1
117-115,258,  [206.0  400.0],130,Posterior,8,  Happy2
117-32,270,  [206.0  400.0],130,Posterior,8,  Happy2
117-34,222,  [206.0  400.0],130,Posterior,8,  Happy2
117-46,290,  [206.0  400.0],130,Posterior,8,  Happy2
117-48,336,  [206.0  400.0],130,Posterior,8,  Happy2
117-50,270,  [206.0  400.0],130,Posterior,8,  Happy2
117-53,250,  [206.0  400.0],130,Posterior,8,  Happy2
117-59,276,  [206.0  400.0],130,Posterior,8,  Happy2
